run.order.file,run.system.seconds_since_epoch,run.system.time,trial.staircase.durationFrames,trial.staircase.thisTrialN,trial.system.seconds_since_epoch,trial.system.time,trial.number,time.onset,trial.response,trial.staircase_stim_duration,trial.rt,trial.stim_duration,trial.should_nudge,trial.reward,total_earnings,fix.after.feedback.adjusted,time.trial,time.run,time.global,subid,session,run,trial.type,fix.after.cue,fix.after.stim,fix.after.feedback,trial.cue_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),use ranged rewards?,use nudge for final run?,do only a single behavioral practice run?,start run (0-3),staircase start reward.low,staircase start reward.high,staircase start neutral,staircase start loss.low,staircase start loss.high,date,expName,frameRate,
C:\Users\Lab\Desktop\MID\orders\9517.csv,1650892491.1483333,Mon Apr 25 15:14:51 2022,,,,,,,,,,,,,,,,,,,1,,,,,,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,0,1650892496.161081,Mon Apr 25 15:14:56 2022,1,226.98586799995974,1,0.35,0.34969850024208426,0.34969850024208426,False,10,10,3.778613773174584,12.566881099715829,17.579513300210238,239.5527554997243,5,1,1,reward.low,2.1653490407625213,2.0792026810813695,3.628312273416668,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,0,1650892508.7277095,Mon Apr 25 15:15:08 2022,2,239.55281660007313,1,0.35,0.33408989990130067,0.33408989990130067,False,70,80,3.954676028341055,13.183786700014025,30.763365200255066,252.73660619976,5,1,1,reward.high,2.574413944967091,2.1141984887071885,3.7887659282423556,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,0,1650892521.9117656,Mon Apr 25 15:15:21 2022,3,252.73665420012549,1,0.35,0.3496787999756634,0.3496787999756634,False,0,80,4.84615174960345,14.067101099994034,44.830517900176346,266.8037585001439,5,1,1,neutral,2.134978090005461,2.5202518505393527,4.695830549579114,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,0,1650892535.9789522,Mon Apr 25 15:15:35 2022,4,266.80383889982477,1,0.35,0.33356940001249313,0.33356940001249313,False,0,80,3.227381066419184,12.816768399905413,57.647370300255716,279.6206108001061,5,1,1,loss.low,2.423522988334298,2.634005699190311,3.0609504664316773,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,0,1650892548.7959561,Mon Apr 25 15:15:48 2022,5,279.62067129975185,1,0.35,0.3334077000617981,0.3334077000617981,False,0,80,3.9067012243904173,13.366981599945575,71.01441590022296,292.98765649972484,5,1,1,loss.high,2.4555490892380476,2.454556481388863,3.7401089244522154,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,1,1650892562.1630197,Mon Apr 25 15:16:02 2022,6,292.987714599818,1,0.31666666666666665,0.31668590009212494,0.31668590009212494,False,0,80,5.02150704478845,14.317135300021619,85.33161360025406,307.304854599759,5,1,1,loss.low,2.446435405407101,2.323505782231223,4.838192944880575,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,1,1650892576.4799893,Mon Apr 25 15:16:16 2022,7,307.30489789973944,1,0.31666666666666665,0.31655750004574656,0.31655750004574656,False,10,90,4.415928644593805,14.033231599722058,99.36489209998399,321.3381328000687,5,1,1,reward.low,2.557393870141823,2.507340423821006,4.232486144639552,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,1,1650892590.5131054,Mon Apr 25 15:16:30 2022,8,321.3381751999259,0,0.31666666666666665,,0.31666666666666665,False,0,90,4.002108799759299,13.717669200152159,113.08260759990662,335.0558507000096,5,1,1,reward.high,2.44354367867345,2.7250166896847077,4.002108799759299,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,2,1650892604.231372,Mon Apr 25 15:16:44 2022,9,335.0558938998729,1,0.2833333333333333,0.26692700013518333,0.26692700013518333,False,10,100,4.666062457021326,13.650042700115591,126.73269900027663,348.70593929989263,5,1,1,reward.low,2.142254171136301,2.313176589901559,4.432989457156509,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,1,1650892617.8805773,Mon Apr 25 15:16:57 2022,10,348.70597939984873,1,0.31666666666666665,0.3173197000287473,0.3173197000287473,False,0,100,4.9864315879531205,13.967213499825448,140.69995660008863,362.6731976000592,5,1,1,loss.high,2.2862745189340785,2.1412710243603215,4.803751287981868,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,2,1650892631.8483424,Mon Apr 25 15:17:11 2022,11,362.6732453997247,0,0.2833333333333333,,0.2833333333333333,False,-10,90,3.3557257489301264,13.217017900198698,153.91702650021762,375.89026780007407,5,1,1,loss.low,2.6755064519820735,2.6585447714314796,3.3557257489301264,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,1,1650892645.0653615,Mon Apr 25 15:17:25 2022,12,375.8903141999617,1,0.31666666666666665,0.2998334001749754,0.2998334001749754,False,0,90,4.816661415621638,14.066949300002307,167.9840263002552,389.9572665998712,5,1,1,neutral,2.0011281503830105,2.6918025779887103,4.616494815796614,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,3,1650892659.1325064,Mon Apr 25 15:17:39 2022,13,389.9573467001319,1,0.31666666666666665,0.3165199002251029,0.3165199002251029,False,0,90,4.423922099173069,13.733428200241178,181.71753890020773,403.6907794000581,5,1,1,loss.low,2.4264765715925023,2.328058002749458,4.240441999398172,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,2,1650892672.8660383,Mon Apr 25 15:17:52 2022,14,403.6908170999959,1,0.2833333333333333,0.28281630016863346,0.28281630016863346,False,0,90,4.980567511636764,14.567352400161326,196.28493290022016,418.25817319983616,5,1,1,neutral,2.3516685076756403,2.694897900451906,4.763383811805397,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,9,3,1650892687.4330816,Mon Apr 25 15:18:07 2022,15,418.2582427999005,0,0.25,,0.25,False,0,90,4.316805738955736,13.300283800344914,209.58527640020475,431.5585169997066,5,1,1,reward.low,2.153182982292492,2.2727560672792606,4.316805738955736,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,9,3,1650892700.733532,Mon Apr 25 15:18:20 2022,16,431.5585882999003,0,0.25,,0.25,False,0,90,4.223624360281974,13.966181899886578,223.55153350019827,445.52477400004864,5,1,1,neutral,2.7372039795154706,2.4618616945226677,4.223624360281974,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,2,1650892714.6997654,Mon Apr 25 15:18:34 2022,17,445.5248122001067,0,0.2833333333333333,,0.2833333333333333,False,-70,20,4.792099054902792,14.034523699898273,237.58609890006483,459.5593392001465,5,1,1,loss.high,2.1390979475108907,2.5672089079744183,4.792099054902792,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
